project,file,function,start_line,end_line,nloc,cyclomatic,params
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::readString,420,430,11,4,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::readObject,432,477,44,16,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::readArray,479,512,32,9,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::decodeNumber,514,522,9,2,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::decodeNumber,524,565,33,14,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::decodeDouble,567,575,9,2,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::decodeDouble,577,591,15,5,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::decodeString,593,602,10,2,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::decodeString,604,655,52,15,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::decodeUnicodeCodePoint,657,680,22,8,4
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::decodeUnicodeEscapeSequence,682,706,25,9,4
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::addError,708,715,8,1,3
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::recoverFromError,717,728,12,5,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::addErrorAndRecover,730,734,5,1,3
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::currentValue,736,736,1,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::getNextChar,738,742,5,2,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::getLocationLineAndColumn,744,764,20,7,3
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::getLocationLineAndColumn,766,772,7,1,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::getFormatedErrorMessages,775,777,3,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::getFormattedErrorMessages,779,790,12,3,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::getStructuredErrors,792,802,11,2,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::pushError,804,818,15,3,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::pushError,820,836,17,4,3
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::Reader::good,838,838,1,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurFeatures::all,858,858,1,1,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::containsNewLine,974,977,4,2,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::OurReader,979,979,1,1,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::parse,981,1025,40,10,4
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::readValue,1027,1117,84,19,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::readTokenSkippingComments,1119,1127,9,4,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::readToken,1129,1238,109,36,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::skipSpaces,1240,1248,9,6,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::skipBom,1250,1258,8,4,1
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::match,1260,1269,10,4,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::readComment,1271,1303,28,10,0
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::normalizeEOL,1305,1323,17,5,2
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::addComment,1325,1335,11,2,3
Json CPP,jsoncpp/src/lib_json/json_reader.cpp,Json::OurReader::readCStyleComment,1337,1349,11,5,1
